split,criterion,seed,epoch,confidence,accuracy,count
balanced,ce,seed_2,1,0.688571288375606,0.5744,10000
balanced,ce,seed_2,2,0.7561667615819563,0.6862,10000
balanced,ce,seed_2,3,0.7935708556066473,0.7495,10000
balanced,ce,seed_2,4,0.8246270090686437,0.7578,10000
balanced,ce,seed_2,5,0.8449860364976537,0.7442,10000
balanced,ce,seed_2,6,0.867196163783257,0.7642,10000
balanced,ce,seed_2,7,0.8844369478240129,0.7812,10000
balanced,ce,seed_2,8,0.8963717638007045,0.7914,10000
balanced,ce,seed_2,9,0.9009506595408359,0.7872,10000
balanced,ce,seed_2,10,0.9075770701373501,0.7977,10000
balanced,ce,seed_2,11,0.9176674765366338,0.7927,10000
balanced,ce,seed_2,12,0.918685453670552,0.8032,10000
balanced,ce,seed_2,13,0.9254910852255456,0.8146,10000
balanced,ce,seed_2,14,0.93148982339966,0.8083,10000
balanced,ce,seed_2,15,0.9295858828783771,0.812,10000
balanced,ce,seed_2,16,0.9359784777086297,0.814,10000
balanced,ce,seed_2,17,0.9400268238624769,0.8185,10000
balanced,ce,seed_2,18,0.9367762357329777,0.8159,10000
balanced,ce,seed_2,19,0.9407424633015428,0.8199,10000
balanced,ce,seed_2,20,0.9423279509234961,0.8215,10000
balanced,ce,seed_18,1,0.6846540324677383,0.581,10000
balanced,ce,seed_18,2,0.7732066905622234,0.6496,10000
balanced,ce,seed_18,3,0.8075364558439413,0.7439,10000
balanced,ce,seed_18,4,0.8354045005455373,0.7505,10000
balanced,ce,seed_18,5,0.8606544755296616,0.7756,10000
balanced,ce,seed_18,6,0.8761199631243286,0.7714,10000
balanced,ce,seed_18,7,0.8957233680242369,0.7848,10000
balanced,ce,seed_18,8,0.9035081204442987,0.8014,10000
balanced,ce,seed_18,9,0.9029195788062856,0.7932,10000
balanced,ce,seed_18,10,0.9171452460567656,0.8029,10000
balanced,ce,seed_18,11,0.9266402779434798,0.8069,10000
balanced,ce,seed_18,12,0.9244405123215406,0.7981,10000
balanced,ce,seed_18,13,0.9253865509945388,0.8001,10000
balanced,ce,seed_18,14,0.933659567629846,0.8202,10000
balanced,ce,seed_18,15,0.9337955172130303,0.8083,10000
balanced,ce,seed_18,16,0.9372108088511514,0.8145,10000
balanced,ce,seed_18,17,0.9397795414233012,0.8092,10000
balanced,ce,seed_18,18,0.9393114135158885,0.8203,10000
balanced,ce,seed_18,19,0.9414266275119384,0.8288,10000
balanced,ce,seed_18,20,0.9446684842188328,0.8159,10000
balanced,ce,seed_33,1,0.684814835726542,0.6199,10000
balanced,ce,seed_33,2,0.7872734314449122,0.7276,10000
balanced,ce,seed_33,3,0.8215857296265547,0.7535,10000
balanced,ce,seed_33,4,0.847554808254854,0.7584,10000
balanced,ce,seed_33,5,0.8600704626630687,0.7749,10000
balanced,ce,seed_33,6,0.8733211095977056,0.7642,10000
balanced,ce,seed_33,7,0.8941884054674616,0.779,10000
balanced,ce,seed_33,8,0.8985950787512981,0.7891,10000
balanced,ce,seed_33,9,0.9059129376568477,0.7925,10000
balanced,ce,seed_33,10,0.9087922803292336,0.7776,10000
balanced,ce,seed_33,11,0.924968430275076,0.8097,10000
balanced,ce,seed_33,12,0.9330302288414587,0.806,10000
balanced,ce,seed_33,13,0.9303215396718831,0.8173,10000
balanced,ce,seed_33,14,0.9314973476352064,0.8044,10000
balanced,ce,seed_33,15,0.9339226011805899,0.8015,10000
balanced,ce,seed_33,16,0.9389863466676305,0.8317,10000
balanced,ce,seed_33,17,0.9377540988424966,0.8182,10000
balanced,ce,seed_33,18,0.9426141464558637,0.8177,10000
balanced,ce,seed_33,19,0.9350118078020947,0.8073,10000
balanced,ce,seed_33,20,0.9439778435330327,0.8283,10000
balanced,ce,seed_45,1,0.6993883945999889,0.6177,10000
balanced,ce,seed_45,2,0.7640497330781131,0.6944,10000
balanced,ce,seed_45,3,0.7953735676316119,0.7417,10000
balanced,ce,seed_45,4,0.8359910160445343,0.7485,10000
balanced,ce,seed_45,5,0.8601004399039921,0.7558,10000
balanced,ce,seed_45,6,0.8814274393742034,0.7914,10000
balanced,ce,seed_45,7,0.8861348337164007,0.7765,10000
balanced,ce,seed_45,8,0.8926326994865692,0.7832,10000
balanced,ce,seed_45,9,0.9036944210444259,0.8075,10000
balanced,ce,seed_45,10,0.9082779571156782,0.7999,10000
balanced,ce,seed_45,11,0.9193044182728316,0.803,10000
balanced,ce,seed_45,12,0.9147426647214765,0.7896,10000
balanced,ce,seed_45,13,0.9243215415196672,0.8045,10000
balanced,ce,seed_45,14,0.9285522573128823,0.8076,10000
balanced,ce,seed_45,15,0.934325608124087,0.8179,10000
balanced,ce,seed_45,16,0.9351384148439894,0.8242,10000
balanced,ce,seed_45,17,0.9427448681728814,0.8277,10000
balanced,ce,seed_45,18,0.9374855902251833,0.8164,10000
balanced,ce,seed_45,19,0.9407082819967721,0.8343,10000
balanced,ce,seed_45,20,0.9403459587331275,0.8116,10000
balanced,ce,seed_255,1,0.7061901012720078,0.5967,10000
balanced,ce,seed_255,2,0.767760299268257,0.6928,10000
balanced,ce,seed_255,3,0.8240888570476275,0.7357,10000
balanced,ce,seed_255,4,0.8265050043795483,0.7332,10000
balanced,ce,seed_255,5,0.8470991432560492,0.7531,10000
balanced,ce,seed_255,6,0.8648139770581822,0.7717,10000
balanced,ce,seed_255,7,0.8722098171544806,0.7566,10000
balanced,ce,seed_255,8,0.8975241077242767,0.7745,10000
balanced,ce,seed_255,9,0.9061795910131707,0.7787,10000
balanced,ce,seed_255,10,0.9210325626233047,0.7997,10000
balanced,ce,seed_255,11,0.9217506312249174,0.817,10000
balanced,ce,seed_255,12,0.9239642295156678,0.7967,10000
balanced,ce,seed_255,13,0.9308741808362991,0.8161,10000
balanced,ce,seed_255,14,0.9344727512504449,0.8156,10000
balanced,ce,seed_255,15,0.9317768667392374,0.81,10000
balanced,ce,seed_255,16,0.937660919984302,0.8241,10000
balanced,ce,seed_255,17,0.9392278259657793,0.8171,10000
balanced,ce,seed_255,18,0.9408251043242016,0.826,10000
balanced,ce,seed_255,19,0.9437620797207655,0.8271,10000
balanced,ce,seed_255,20,0.9422689112780428,0.8269,10000
balanced,focal_loss,seed_2,1,0.5546582953962282,0.5706,10000
balanced,focal_loss,seed_2,2,0.624524108162419,0.6762,10000
balanced,focal_loss,seed_2,3,0.6444027955264924,0.6944,10000
balanced,focal_loss,seed_2,4,0.6837464059699527,0.7233,10000
balanced,focal_loss,seed_2,5,0.6947325136850517,0.7314,10000
balanced,focal_loss,seed_2,6,0.7317697729616212,0.74,10000
balanced,focal_loss,seed_2,7,0.753347392576332,0.7425,10000
balanced,focal_loss,seed_2,8,0.7719732674932034,0.747,10000
balanced,focal_loss,seed_2,9,0.7885722517917411,0.7634,10000
balanced,focal_loss,seed_2,10,0.8037986650264228,0.779,10000
balanced,focal_loss,seed_2,11,0.817994570469428,0.7803,10000
balanced,focal_loss,seed_2,12,0.8266246101682138,0.7858,10000
balanced,focal_loss,seed_2,13,0.8388308385363383,0.7969,10000
balanced,focal_loss,seed_2,14,0.8445056831492977,0.803,10000
balanced,focal_loss,seed_2,15,0.8551508427059739,0.8088,10000
balanced,focal_loss,seed_2,16,0.850028261790191,0.8034,10000
balanced,focal_loss,seed_2,17,0.8593896406217622,0.8086,10000
balanced,focal_loss,seed_2,18,0.8588493685638017,0.7968,10000
balanced,focal_loss,seed_2,19,0.846573248267227,0.7865,10000
balanced,focal_loss,seed_2,20,0.8744907489438878,0.8116,10000
balanced,focal_loss,seed_18,1,0.5480941225342796,0.5744,10000
balanced,focal_loss,seed_18,2,0.6143976004093136,0.659,10000
balanced,focal_loss,seed_18,3,0.6510071234576599,0.7104,10000
balanced,focal_loss,seed_18,4,0.6837408614072651,0.7221,10000
balanced,focal_loss,seed_18,5,0.6905713921591294,0.6962,10000
balanced,focal_loss,seed_18,6,0.7300783304073684,0.7665,10000
balanced,focal_loss,seed_18,7,0.7513236206412249,0.759,10000
balanced,focal_loss,seed_18,8,0.7748776192658287,0.7642,10000
balanced,focal_loss,seed_18,9,0.8107567812490042,0.7745,10000
balanced,focal_loss,seed_18,10,0.8013197908387819,0.7738,10000
balanced,focal_loss,seed_18,11,0.8159673562358262,0.7781,10000
balanced,focal_loss,seed_18,12,0.8331585653081193,0.8003,10000
balanced,focal_loss,seed_18,13,0.837225031813422,0.7954,10000
balanced,focal_loss,seed_18,14,0.8439241403249947,0.8,10000
balanced,focal_loss,seed_18,15,0.8553846203133278,0.7945,10000
balanced,focal_loss,seed_18,16,0.8553905984687296,0.8007,10000
balanced,focal_loss,seed_18,17,0.8533772059610728,0.7976,10000
balanced,focal_loss,seed_18,18,0.8550727098897399,0.802,10000
balanced,focal_loss,seed_18,19,0.8569453785351174,0.8047,10000
balanced,focal_loss,seed_18,20,0.8683400567787399,0.7977,10000
balanced,focal_loss,seed_33,1,0.5587247453275971,0.5895,10000
balanced,focal_loss,seed_33,2,0.652351732107814,0.689,10000
balanced,focal_loss,seed_33,3,0.6811670924616625,0.735,10000
balanced,focal_loss,seed_33,4,0.6960748815759736,0.705,10000
balanced,focal_loss,seed_33,5,0.7278135226915154,0.7406,10000
balanced,focal_loss,seed_33,6,0.7359890920686663,0.733,10000
balanced,focal_loss,seed_33,7,0.7604767519273401,0.7549,10000
balanced,focal_loss,seed_33,8,0.7935867010522778,0.7733,10000
balanced,focal_loss,seed_33,9,0.8088095899601656,0.773,10000
balanced,focal_loss,seed_33,10,0.8261745388572282,0.8,10000
balanced,focal_loss,seed_33,11,0.8285826730539444,0.7765,10000
balanced,focal_loss,seed_33,12,0.8320964228397528,0.7938,10000
balanced,focal_loss,seed_33,13,0.8412853927719031,0.8,10000
balanced,focal_loss,seed_33,14,0.8511573959879224,0.8166,10000
balanced,focal_loss,seed_33,15,0.8598512203765324,0.8039,10000
balanced,focal_loss,seed_33,16,0.8476250265783705,0.7932,10000
balanced,focal_loss,seed_33,17,0.8620103498084569,0.8136,10000
balanced,focal_loss,seed_33,18,0.8645358265700186,0.8137,10000
balanced,focal_loss,seed_33,19,0.8699168936657649,0.8133,10000
balanced,focal_loss,seed_33,20,0.8650701866692283,0.8155,10000
balanced,focal_loss,seed_45,1,0.5698430574983985,0.5419,10000
balanced,focal_loss,seed_45,2,0.6412731177359884,0.6726,10000
balanced,focal_loss,seed_45,3,0.6766545076033633,0.7071,10000
balanced,focal_loss,seed_45,4,0.7045040211702615,0.7228,10000
balanced,focal_loss,seed_45,5,0.7190394409346351,0.7411,10000
balanced,focal_loss,seed_45,6,0.7367826599413373,0.7494,10000
balanced,focal_loss,seed_45,7,0.7558895030830243,0.7701,10000
balanced,focal_loss,seed_45,8,0.7616143843193733,0.7617,10000
balanced,focal_loss,seed_45,9,0.7899207674933869,0.7855,10000
balanced,focal_loss,seed_45,10,0.8074196067020659,0.7965,10000
balanced,focal_loss,seed_45,11,0.8183895921383106,0.7985,10000
balanced,focal_loss,seed_45,12,0.8416827471201559,0.8118,10000
balanced,focal_loss,seed_45,13,0.8446837273501772,0.8089,10000
balanced,focal_loss,seed_45,14,0.8439119231072016,0.8131,10000
balanced,focal_loss,seed_45,15,0.8521923524414026,0.7993,10000
balanced,focal_loss,seed_45,16,0.85418146052999,0.8134,10000
balanced,focal_loss,seed_45,17,0.8522338641706907,0.8064,10000
balanced,focal_loss,seed_45,18,0.8744067861418147,0.8242,10000
balanced,focal_loss,seed_45,19,0.8649274214599163,0.8138,10000
balanced,focal_loss,seed_45,20,0.8666534560592114,0.8081,10000
balanced,focal_loss,seed_255,1,0.5764194247127923,0.5541,10000
balanced,focal_loss,seed_255,2,0.6143376203363377,0.6653,10000
balanced,focal_loss,seed_255,3,0.666254703823722,0.6975,10000
balanced,focal_loss,seed_255,4,0.6837217455814313,0.7066,10000
balanced,focal_loss,seed_255,5,0.7315934094120207,0.76,10000
balanced,focal_loss,seed_255,6,0.7463652216458918,0.739,10000
balanced,focal_loss,seed_255,7,0.7586456669937116,0.7499,10000
balanced,focal_loss,seed_255,8,0.7708793248640807,0.7618,10000
balanced,focal_loss,seed_255,9,0.7781004521822518,0.7538,10000
balanced,focal_loss,seed_255,10,0.8007094903814376,0.7743,10000
balanced,focal_loss,seed_255,11,0.8028517132185284,0.7636,10000
balanced,focal_loss,seed_255,12,0.8134447110377055,0.7797,10000
balanced,focal_loss,seed_255,13,0.8291728037259031,0.7829,10000
balanced,focal_loss,seed_255,14,0.8315699376194913,0.7858,10000
balanced,focal_loss,seed_255,15,0.8385349854451611,0.7997,10000
balanced,focal_loss,seed_255,16,0.8509640086133237,0.8043,10000
balanced,focal_loss,seed_255,17,0.8607932132408932,0.8089,10000
balanced,focal_loss,seed_255,18,0.8559747338454117,0.8043,10000
balanced,focal_loss,seed_255,19,0.8561825142415117,0.8036,10000
balanced,focal_loss,seed_255,20,0.8596303537760522,0.8077,10000
balanced,label_smoothing_ce,seed_2,1,0.6075967279557444,0.6117,10000
balanced,label_smoothing_ce,seed_2,2,0.6623866782238625,0.6854,10000
balanced,label_smoothing_ce,seed_2,3,0.7179048559668944,0.7243,10000
balanced,label_smoothing_ce,seed_2,4,0.7445184064551615,0.7523,10000
balanced,label_smoothing_ce,seed_2,5,0.7737872572399866,0.7626,10000
balanced,label_smoothing_ce,seed_2,6,0.7633412634292223,0.7614,10000
balanced,label_smoothing_ce,seed_2,7,0.7991231896021621,0.7837,10000
balanced,label_smoothing_ce,seed_2,8,0.8048663843095556,0.7965,10000
balanced,label_smoothing_ce,seed_2,9,0.8204781573507036,0.796,10000
balanced,label_smoothing_ce,seed_2,10,0.8285588667952009,0.7957,10000
balanced,label_smoothing_ce,seed_2,11,0.8355669658948931,0.8166,10000
balanced,label_smoothing_ce,seed_2,12,0.8294255115541191,0.8082,10000
balanced,label_smoothing_ce,seed_2,13,0.8378438501457951,0.8306,10000
balanced,label_smoothing_ce,seed_2,14,0.8384105479807887,0.8171,10000
balanced,label_smoothing_ce,seed_2,15,0.8506300903531786,0.8183,10000
balanced,label_smoothing_ce,seed_2,16,0.8529168287144961,0.8263,10000
balanced,label_smoothing_ce,seed_2,17,0.8406127144040393,0.8211,10000
balanced,label_smoothing_ce,seed_2,18,0.8459729832015922,0.8283,10000
balanced,label_smoothing_ce,seed_2,19,0.8551919217224891,0.8208,10000
balanced,label_smoothing_ce,seed_2,20,0.8549988943062093,0.8304,10000
balanced,label_smoothing_ce,seed_18,1,0.5834961350446026,0.5937,10000
balanced,label_smoothing_ce,seed_18,2,0.6759791001901372,0.6803,10000
balanced,label_smoothing_ce,seed_18,3,0.7096899483187123,0.7368,10000
balanced,label_smoothing_ce,seed_18,4,0.7441899101887967,0.7687,10000
balanced,label_smoothing_ce,seed_18,5,0.7445517047586712,0.7272,10000
balanced,label_smoothing_ce,seed_18,6,0.7691650252340856,0.7717,10000
balanced,label_smoothing_ce,seed_18,7,0.7874029064336813,0.7912,10000
balanced,label_smoothing_ce,seed_18,8,0.8040701740222687,0.7888,10000
balanced,label_smoothing_ce,seed_18,9,0.8116427039124036,0.7833,10000
balanced,label_smoothing_ce,seed_18,10,0.8191651125402197,0.8109,10000
balanced,label_smoothing_ce,seed_18,11,0.8173547912225736,0.803,10000
balanced,label_smoothing_ce,seed_18,12,0.8256982049488921,0.8092,10000
balanced,label_smoothing_ce,seed_18,13,0.8313048779316184,0.8163,10000
balanced,label_smoothing_ce,seed_18,14,0.8433582743215402,0.8181,10000
balanced,label_smoothing_ce,seed_18,15,0.8368698245192607,0.8199,10000
balanced,label_smoothing_ce,seed_18,16,0.8502079826434794,0.8289,10000
balanced,label_smoothing_ce,seed_18,17,0.8423885476102905,0.8262,10000
balanced,label_smoothing_ce,seed_18,18,0.8407184115513292,0.8307,10000
balanced,label_smoothing_ce,seed_18,19,0.8358441289130302,0.8301,10000
balanced,label_smoothing_ce,seed_18,20,0.8436356012470866,0.8323,10000
balanced,label_smoothing_ce,seed_33,1,0.6121547991645637,0.5261,10000
balanced,label_smoothing_ce,seed_33,2,0.6768053636394928,0.7129,10000
balanced,label_smoothing_ce,seed_33,3,0.7088396260839238,0.7463,10000
balanced,label_smoothing_ce,seed_33,4,0.7430790372529978,0.7526,10000
balanced,label_smoothing_ce,seed_33,5,0.7809862114189776,0.7954,10000
balanced,label_smoothing_ce,seed_33,6,0.7850794835874914,0.7913,10000
balanced,label_smoothing_ce,seed_33,7,0.7992920901176354,0.7959,10000
balanced,label_smoothing_ce,seed_33,8,0.7987142149503053,0.7828,10000
balanced,label_smoothing_ce,seed_33,9,0.8269795546528077,0.8015,10000
balanced,label_smoothing_ce,seed_33,10,0.8217687629501781,0.7984,10000
balanced,label_smoothing_ce,seed_33,11,0.8233875635501785,0.7976,10000
balanced,label_smoothing_ce,seed_33,12,0.8414525799086965,0.8084,10000
balanced,label_smoothing_ce,seed_33,13,0.8430896082246043,0.7937,10000
balanced,label_smoothing_ce,seed_33,14,0.846375516162925,0.7886,10000
balanced,label_smoothing_ce,seed_33,15,0.8516183300301516,0.8072,10000
balanced,label_smoothing_ce,seed_33,16,0.8469876522250476,0.8191,10000
balanced,label_smoothing_ce,seed_33,17,0.856391383094584,0.8232,10000
balanced,label_smoothing_ce,seed_33,18,0.8559924171464199,0.8237,10000
balanced,label_smoothing_ce,seed_33,19,0.8555251373071747,0.8305,10000
balanced,label_smoothing_ce,seed_33,20,0.8596574779896631,0.8256,10000
balanced,label_smoothing_ce,seed_45,1,0.6101897124960171,0.5958,10000
balanced,label_smoothing_ce,seed_45,2,0.6470385800817764,0.7114,10000
balanced,label_smoothing_ce,seed_45,3,0.6838926793518348,0.7303,10000
balanced,label_smoothing_ce,seed_45,4,0.7310682069807216,0.7453,10000
balanced,label_smoothing_ce,seed_45,5,0.7659870909237418,0.7583,10000
balanced,label_smoothing_ce,seed_45,6,0.7714019628363045,0.7538,10000
balanced,label_smoothing_ce,seed_45,7,0.7926216786344512,0.7941,10000
balanced,label_smoothing_ce,seed_45,8,0.794090932459001,0.7811,10000
balanced,label_smoothing_ce,seed_45,9,0.8221866610665697,0.792,10000
balanced,label_smoothing_ce,seed_45,10,0.8193370244767306,0.8041,10000
balanced,label_smoothing_ce,seed_45,11,0.8319725420345074,0.8114,10000
balanced,label_smoothing_ce,seed_45,12,0.829106655068243,0.7985,10000
balanced,label_smoothing_ce,seed_45,13,0.8409379663085605,0.8128,10000
balanced,label_smoothing_ce,seed_45,14,0.8394765948758895,0.8121,10000
balanced,label_smoothing_ce,seed_45,15,0.8192815164866312,0.7947,10000
balanced,label_smoothing_ce,seed_45,16,0.8504542041749129,0.8218,10000
balanced,label_smoothing_ce,seed_45,17,0.8513285347555739,0.8243,10000
balanced,label_smoothing_ce,seed_45,18,0.8528480722121309,0.817,10000
balanced,label_smoothing_ce,seed_45,19,0.8588590887243623,0.8228,10000
balanced,label_smoothing_ce,seed_45,20,0.8481541485457587,0.8136,10000
balanced,label_smoothing_ce,seed_255,1,0.6125858356309819,0.5881,10000
balanced,label_smoothing_ce,seed_255,2,0.6552609341426945,0.6953,10000
balanced,label_smoothing_ce,seed_255,3,0.7056389671691363,0.75,10000
balanced,label_smoothing_ce,seed_255,4,0.7298069508969778,0.7575,10000
balanced,label_smoothing_ce,seed_255,5,0.7584110721953305,0.7639,10000
balanced,label_smoothing_ce,seed_255,6,0.7714490357074604,0.7496,10000
balanced,label_smoothing_ce,seed_255,7,0.7857816164133075,0.7791,10000
balanced,label_smoothing_ce,seed_255,8,0.7989026696008238,0.7954,10000
balanced,label_smoothing_ce,seed_255,9,0.808607729440809,0.7652,10000
balanced,label_smoothing_ce,seed_255,10,0.8144775561782541,0.7864,10000
balanced,label_smoothing_ce,seed_255,11,0.8224045010384716,0.805,10000
balanced,label_smoothing_ce,seed_255,12,0.8301864170485205,0.7986,10000
balanced,label_smoothing_ce,seed_255,13,0.8425578096620713,0.8039,10000
balanced,label_smoothing_ce,seed_255,14,0.8419195369578752,0.8164,10000
balanced,label_smoothing_ce,seed_255,15,0.8484486885612048,0.8114,10000
balanced,label_smoothing_ce,seed_255,16,0.8525337362122091,0.8211,10000
balanced,label_smoothing_ce,seed_255,17,0.8444238399903874,0.8171,10000
balanced,label_smoothing_ce,seed_255,18,0.8539188925979404,0.8298,10000
balanced,label_smoothing_ce,seed_255,19,0.8429918351571996,0.8118,10000
balanced,label_smoothing_ce,seed_255,20,0.8488757111933339,0.8269,10000
